handle,maintainer-email,name,provider-homepage,provider-institution,provider-name,template-type
RePEc:dip:dpaper,publications@city.ac.uk,CITYPERC Working Paper Series,http://www.city.ac.uk/arts-social-sciences/international-politics/,RePEc:edi:cpcituk,"Department of International Politics, City University London",ReDIF-Series 1.0
RePEc:dis:wpaper,erika.uberti@unicatt.it,"DISEIS - Quaderni del Dipartimento di Economia internazionale, delle istituzioni e dello sviluppo",http://dipartimenti.unicatt.it/economia_internazionale_istituzioni_sviluppo,RePEc:edi:dicatit,"Universit‡ Cattolica del Sacro Cuore, Dipartimento di Economia internazionale, delle istituzioni e dello sviluppo (DISEIS)",ReDIF-Series 1.0
RePEc:diw:diwfin,bibliothek@diw.de,Working Paper / FINESS,http://www.diw.de/en,RePEc:edi:diwbede,"DIW Berlin, German Institute for Economic Research",ReDIF-Series 1.0
RePEc:dkn:testr2,connie.cook@deakin.edu.au,Test Series Two,,,,ReDIF-Series 1.0
RePEc:dls:wpaper,cedlas@depeco.econo.unlp.edu.ar,"CEDLAS, Working Papers",http://cedlas.econo.unlp.edu.ar/,RePEc:edi:funlpar,"CEDLAS, Universidad Nacional de La Plata",ReDIF-Series 1.0
RePEc:dlw:wpaper,hoffmans@udel.edu,Working Papers,http://lerner.udel.edu/departments/economics/department-economics/,RePEc:edi:deudeus,"University of Delaware, Department of Economics",ReDIF-Series 1.0
RePEc:dnb:staffs,R.B.M.Vet@DNB.NL,DNB Staff Reports (discontinued),http://www.dnb.nl/en/,RePEc:edi:dnbgvnl,Netherlands Central Bank,ReDIF-Series 1.0
RePEc:dob:journl,tatjana.gorjup-hlade@doba.si,Journal of Innovative Business and Management,,RePEc:edi:dobamsi,DOBA Faculty,ReDIF-Series 1.0
RePEc:doj:compad,tung.vu@usdoj.gov,EAG Competition Advocacy Papers,http://www.justice.gov/atr/,RePEc:edi:atrgvus,"Department of Justice, Antitrust Division",ReDIF-Series 1.0
RePEc:don:donwpa,amy.johnson@unibocconi.it,Working Papers,http://www.dondena.unibocconi.it/,,"""Carlo F. Dondena"" Centre for Research on Social Dynamics (DONDENA), Universit‡ Commerciale Luigi Bocconi",ReDIF-Series 1.0
RePEc:dor:wpaper,walterk@statistik.tu-dortmund.de,Working Papers,http://www.statistik.tu-dortmund.de/iwus.html,RePEc:edi:isdorde,"Business and Social Statistics Department, Technische Universit‰t Dortmund",ReDIF-Series 1.0
RePEc:dpc:wpaper,depocenwp@depocenwp.org,Working Papers,http://www.depocenwp.org,RePEc:edi:depocvn,"Development and Policies Research Center (DEPOCEN), Vietnam",ReDIF-Series 1.0
RePEc:dpr:wpaper,library@iser.osaka-u.ac.jp,ISER Discussion Paper,http://www.iser.osaka-u.ac.jp/index-e.html,RePEc:edi:isosujp,"Institute of Social and Economic Research, Osaka University",ReDIF-Series 1.0
RePEc:dra:wpaper,psp@dreammodel.dk,DREAM Working Paper Series,http://www.dreammodel.dk/,RePEc:edi:dreamdk,"Danish Rational Economic Agents Model, DREAM",ReDIF-Series 1.0
RePEc:dre:wpaper,resec@resecon.umass.edu,Working Papers,http://www.umass.edu/resec/,RePEc:edi:degraus,"University of Massachusetts Amherst, Department of Resource Economics",ReDIF-Series 1.0
RePEc:drm:wpaper,valerie.mignon@u-paris10.fr,EconomiX Working Papers,https://economix.fr/,RePEc:edi:modemfr,"University of Paris Nanterre, EconomiX",ReDIF-Series 1.0
RePEc:dsc:wpaper,claudio.sardoni@uniroma1.it,Working Papers,http://phdschool-economics.dse.uniroma1.it/website/,RePEc:edi:ferosit,"Doctoral School of Economics, Sapienza University of Rome",ReDIF-Series 1.0
RePEc:dse:indecr,dua@econdse.org,Indian Economic Review,http://www.ierdse.org/,RePEc:edi:deudein,"Department of Economics, Delhi School of Economics",ReDIF-Series 1.0
RePEc:dsr:pastwp,jeansepulveda@udd.cl,Past Working Papers,http://negocios.udd.cl/,RePEc:edi:feuddcl,"Universidad del Desarrollo, School of Business and Economics",ReDIF-Series 1.0
RePEc:dtm:wpaper,mirelle.queiroz@datametrica.com.br,Working Papers,http://repec.datametrica.com.br/,RePEc:edi:datambr,DatamÈtrica Consultoria EconÙmica,ReDIF-Series 1.0
RePEc:dug:jaccma,floriann@univ-danubius.ro,The Journal of Accounting and Management,http://journals.univ-danubius.ro/index.php/jam,RePEc:edi:fedanro,Danubius University of Galati,ReDIF-Series 1.0
RePEc:duh:wpaper,julian.pollmann@wiwinf.uni-due.de,CINCH Working Paper Series,https://cinch.uni-due.de/,RePEc:edi:cinchde,"Universitaet Duisburg-Essen, Competent in Competition and Health",ReDIF-Series 1.0
RePEc:dui:wpaper,ewl-wp@wiwinf.uni-due.de,EWL Working Papers,http://www.ewl.wiwi.uni-due.de,RePEc:edi:fwessde,"University of Duisburg-Essen, Chair for Management Science and Energy Economics",ReDIF-Series 1.0
RePEc:duj:wpaper,sekretariat.widida@uni-due.de,Working Papers,http://www.wida.wiwi.uni-due.de,RePEc:edi:fwessde,"University of Duisburg-Essen, Chair of Economics and Economic Education",ReDIF-Series 1.0
RePEc:duk:dukeec,webmaster@econ.duke.edu,Working Papers,http://econ.duke.edu/,,"Duke University, Department of Economics",ReDIF-Series 1.0
RePEc:dul:wpaper,bpauwels@ulb.ac.be,DULBEA Working Papers,http://difusion.ulb.ac.be,RePEc:edi:dulbebe,ULB -- Universite Libre de Bruxelles,ReDIF-Series 1.0
RePEc:dun:dpaper,a.kwiatkowski@dundee.ac.uk,Dundee Discussion Papers in Economics,http://www.dundee.ac.uk/econman/,RePEc:edi:dedunuk,"Economic Studies, University of Dundee",ReDIF-Series 1.0
RePEc:dur:cegapw,tatiana.damjanovic@durham.ac.uk,CEGAP Working Papers,https://www.dur.ac.uk/business/research/economics/economic-growth-and-policy/,RePEc:edi:deduruk,Durham University Business School,ReDIF-Series 1.0
RePEc:dys:benwps,ah748@cornell.edu,Working Papers,,RePEc:edi:dacorus,Cornell Center for Behavioral Economics in Child Nutrition Programs,ReDIF-Series 1.0
RePEc:eaa:ijaeqs,mcarmen.guisan@usc.es,International Journal of Applied Econometrics and Quantitative Studies,http://www.usc.es/economet/eaa.htm,RePEc:edi:exusces,Euro-American Association of Economic Development,ReDIF-Series 1.0
RePEc:eab:wpaper,shiro.armstrong@anu.edu.au,EABER Working Papers,http://www.eaber.org,RePEc:edi:eaberau,East Asian Bureau of Economic Research,ReDIF-Series 1.0
RePEc:eac:articl,atlantic@economistascoruna.org,Economic Analysis Working Papers (2002-2010). Atlantic Review of Economics (2011-2016),http://www.economistascoruna.org/eawp/,RePEc:edi:cecorea,"Colexio de Economistas de A CoruÒa, Spain and FundaciÛn Una Galicia Moderna",ReDIF-Series 1.0
RePEc:eaf:wpaper,k.vassilev@aeaf.minfin.bg,Working paper series,http://www.aeaf.minfin.bg/,RePEc:edi:aeagvbg,Agency for Economic Analysis and Forecasting,ReDIF-Series 1.0
RePEc:eag:disser,do-not-use@jeremygreenwood.net,Economie d'Avant Garde Dissertations,http://www.jeremygreenwood.net/EAG.htm,,Economie d'Avant Garde,ReDIF-Series 1.0
RePEc:eap:sswabr,sswa.escap@un.org,SSWA Books and Research Reports,http://www.unescap.org/subregional-office/south-south-west-asia,RePEc:edi:escunin,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP) South and South-West Asia Office,ReDIF-Series 1.0
RePEc:eas:lifesc,editor@eurasianacademy.org,Eurasian Life Sciences Journal,http://lifesciences.eurasianacademy.org/eng/,,Eurasian Academy Of Sciences,ReDIF-Series 1.0
RePEc:ebd:wpaper,LucasO@ebrd.com,Working Papers,http://www.ebrd.com/news/publications/working-papers.html,RePEc:edi:ebrdduk,"European Bank for Reconstruction and Development, Office of the Chief Economist",ReDIF-Series 1.0
RePEc:ebg:essewp,magnanou@essec.edu,ESSEC Working Papers,http://www.essec.edu/,RePEc:edi:essecfr,"ESSEC Research Center, ESSEC Business School",ReDIF-Series 1.0
RePEc:ebl:ecbull,j.p.conley@vanderbilt.edu,Economics Bulletin,,,AccessEcon,ReDIF-Series 1.0
RePEc:eca:wpaper,bpauwels@ulb.ac.be,Working Papers ECARES,http://difusion.ulb.ac.be,RePEc:edi:arulbbe,ULB -- Universite Libre de Bruxelles,ReDIF-Series 1.0
RePEc:ecb:ecbrbu,officialpublications@ecb.int,Research Bulletin,http://www.ecb.europa.eu/,RePEc:edi:emieude,European Central Bank,ReDIF-Series 1.0
RePEc:ecc:report,creutzig@tu-berlin.de,Reports,http://www.climatecon.tu-berlin.de/,RePEc:ecc,"Department of Climate Change Economics, TU Berlin",ReDIF-Series 1.0
RePEc:ece:annrep,robert.shelburne@unece.org,UNECE Annual Report Economic Essays,,RePEc:edi:eceunch,UNECE,ReDIF-Series 1.0
RePEc:ecj:ac2004,baum@bc.edu,Royal Economic Society Annual Conference 2004,http://www.res.org.uk/society/annualconf.asp,RePEc:edi:resssea,Royal Economic Society,ReDIF-Series 1.0
RePEc:ecl:yaleco,workingpapers@econlit.org,Working Papers,http://www.econ.yale.edu/ddp/,RePEc:edi:edyalus,"Yale University, Department of Economics",ReDIF-Series 1.0
RePEc:ecm:feam04,baum@bc.edu,Econometric Society 2004 Far Eastern Meetings,http://www.econometricsociety.org/pastmeetings.asp,RePEc:edi:essssea,Econometric Society,ReDIF-Series 1.0
RePEc:eco:journ4,ilhanozturk@yahoo.com,Isletme ve Iktisat Calismalari Dergisi,http://www.isletmeiktisat.com,,Econjournals,ReDIF-Series 1.0
RePEc:ecp:journl,ijepe.editor@gmail.com,Journal of Economics and Political Economy,,,,ReDIF-Series 1.0
RePEc:ecq:wpaper,uas2103@columbia.edu,Working Papers,http://indianeconomy.columbia.edu/,RePEc:edi:siclbus,"School of International and Public Affairs, Columbia University",ReDIF-Series 1.0
RePEc:ecr:c42076,mariafernanda.ruiz@cepal.org,The Hummingbird,http://www.cepal.org,RePEc:edi:eclaccl,Naciones Unidas Comisi√≥n Econ√≥mica para Am√©rica Latina y el Caribe (CEPAL),ReDIF-Series 1.0
RePEc:ect:emjrnl,baum@bc.edu,Econometrics Journal,http://www.res.org.uk/,RePEc:edi:resssea,Royal Economic Society,ReDIF-Series 1.0
RePEc:edb:cedidp,Sarmistha.Pal@brunel.ac.uk,CEDI Discussion Paper Series,http://www.cedi.org.uk,RePEc:edi:cedibuk,"Centre for Economic Development and Institutions(CEDI), Brunel University",ReDIF-Series 1.0
RePEc:edg:irenen,mf.grela@usc.es,Documentos de trabajo - IRENe,,RePEc:edi:egusces,IDEGA - Instituto Universitario de Estudios e Desenvolvemento de Galicia,ReDIF-Series 1.0
RePEc:edj:ceauch,lcanales@dii.uchile.cl,Documentos de Trabajo,,RePEc:edi:ceuclcl,"Centro de EconomÌa Aplicada, Universidad de Chile",ReDIF-Series 1.0
RePEc:edn:sirfps,hannah.chater@ed.ac.uk,SIRE Focus Papers,http://www.sire.ac.uk,RePEc:edi:sireeuk,Scottish Institute for Research in Economics (SIRE),ReDIF-Series 1.0
RePEc:edt:aucjcm,me@danvoinea.ro,"Annals of the University of Craiova for Journalism, Communication and Management",http://cis01.central.ucv.ro/litere/cadr_juridic/departament_comunicare_jurnalism_stiinte_ale_educatiei/,,"Department of Communication, Journalism and Education Sciences, University of Craiova",ReDIF-Series 1.0
RePEc:eea:oc2015,peeter.luikmel@eestipank.ee,Eesti Pank Occasional Papers,http://www.bankofestonia.info,RePEc:edi:epgovee,Bank of Estonia,ReDIF-Series 1.0
RePEc:eeb:articl,eebej@inbox.lv,Eastern European Business and Economics Journal,http://eebej.eu,,Eastern European Business and Economics Studies Centre,ReDIF-Series 1.0
RePEc:eec:wpaper,vicente.esteve@uv.es,Working Papers,http://www.estructuraeconomica.es,RePEc:edi:dsvales,"Department of Applied Economics II, Universidad de Valencia",ReDIF-Series 1.0
RePEc:eee:telpol,repec@elsevier.com,Telecommunications Policy,http://www.elsevier.com/wps/find/journaldescription.cws_home/30471/description#description,RePEc:edi:osteide,Elsevier,ReDIF-Series 1.0
RePEc:eeg:euroeg,ecap2z1@sis.ucm.es,European Economy Group Working Papers,http://www.ucm.es/info/econeuro,RePEc:edi:geucmes,European Economy Group,ReDIF-Series 1.0
RePEc:eei:journl,vanhove@eeri.eu,Journal of Economics and Econometrics,http://www.eeri.eu/index.htm,RePEc:edi:eeriibe,Economics and Econometrics Society,ReDIF-Series 1.0
RePEc:eej:eeconj,vmatheso@holycross.edu,Eastern Economic Journal,http://www.ramapo.edu/eea/journal.html,RePEc:edi:eeaa1ea,Eastern Economic Association,ReDIF-Series 1.0
RePEc:eem:wpaper,ivano.azzini@jrc.it,Working Papers,http://eemc.jrc.ec.europa.eu/,RePEc:edi:eejrcit,Euro-area Economy Modelling Centre,ReDIF-Series 1.0
RePEc:een:appswp,sung.lee@anu.edu.au,Asia and the Pacific Policy Studies,https://asiaandthepacificpolicystudies.crawford.anu.edu.au/apps-working-paper,RePEc:edi:asanuau,"Crawford School of Public Policy, The Australian National University",ReDIF-Series 1.0
RePEc:eep:tpaper,arief.yusuf@fe.unpad.ac.id,EEPSEA Special and Technical Paper,http://www.eepsea.org,RePEc:edi:eepsesg,Economy and Environment Program for Southeast Asia (EEPSEA),ReDIF-Series 1.0
RePEc:eer:wpalle,apashchenko@kse.org.ua,EERC Working Paper Series,http://www.eercnetwork.com,,"EERC Research Network, Russia and CIS",ReDIF-Series 1.0
RePEc:efe:wpaper,pablo.pintos@eforenergy.org,Working Papers,http://eforenergy.org,,Economics for Energy,ReDIF-Series 1.0
RePEc:eff:ebooks,nvidakovic@vsfp.eu,Effectus - Series in Finance and Law,http://www.effectus-uciliste.eu/,RePEc:edi:effbshr,Effectus - University College for Law and Finance,ReDIF-Series 1.0
RePEc:efp:wpaper,contacto.cieb@economiayfinanzas.gob.bo,Vol˙menes de los Cuadernos de Investigacion Economica Boliviana publicados por el Ministerio de EconomÌa y Finanzas P˙blicas,http://www.economiayfinanzas.gob.bo/,RePEc:edi:mdhgvbo,Ministerio de EconomÌa y Finanzas Publicas de Bolivia,ReDIF-Series 1.0
RePEc:ega:capitu,egap.ccm@servicios.itesm.mx,EGAP Chapters,http://www.ccm.itesm.mx/egap/,RePEc:edi:emitemx,"TecnolÛgico de Monterrey, Campus Ciudad de MÈxico",ReDIF-Series 1.0
RePEc:egb:wpaper,A00593571@itesm.mx,Working Papers,http://www.mty.itesm.mx/egap/,RePEc:edi:epitemx,"Escuela de Graduados en AdministraciÛn P˙blica y PolÌticas P˙blicas, Campus Monterrey",ReDIF-Series 1.0
RePEc:egc:wpaper,louise.danishevsky@yale.edu,Working Papers,http://www.econ.yale.edu/,RePEc:edi:egyalus,"Economic Growth Center, Yale University",ReDIF-Series 1.0
RePEc:ege:journl,baris.gok@ege.edu.tr,Ege Academic Review,http://iibf.ege.edu.tr/ENG/,RePEc:edi:iiegetr,Ege University Faculty of Economics and Administrative Sciences,ReDIF-Series 1.0
RePEc:egr:ejge00,admin@europagrande.org,European Journal of Government and Economics,,,Europa Grande,ReDIF-Series 1.0
RePEc:egu:wpaper,m.hartog@uu.nl,Papers in Evolutionary Economic Geography (PEEG),http://econ.geo.uu.nl,RePEc:edi:deguunl,"Utrecht University, Section of Economic Geography",ReDIF-Series 1.0
RePEc:ehb:kombks,utku.teksoez@econhist.de,Books by John Komlos,http://www.vwl.uni-muenchen.de/ls_komlos/,RePEc:edi:vfmunde,"Department of Economics, University of Munich",ReDIF-Series 1.0
RePEc:ehl:lserod,lseresearchonline@lse.ac.uk,LSE Research Online Documents on Economics,,RePEc:edi:lsepsuk,"London School of Economics and Political Science, LSE Library",ReDIF-Series 1.0
RePEc:ehu:rdadme,alcira.macias@ehu.es,Revista de DirecciÛn y AdministraciÛn de Empresas,http://www.enpresa-donostia.ehu.es/p256-home/es,RePEc:edi:esehues,Universidad del PaÌs Vasco - Escuela Universitaria de Estudios Empresariales de San Sebasti·n,ReDIF-Series 1.0
RePEc:EID:wpaper,opus-support@bath.ac.uk,Department of Economics Working Papers,http://www.bath.ac.uk,RePEc:edi:debatuk,"University of Bath, Department of Economics",ReDIF-Series 1.0
RePEc:eie:wpaper,facundo.piguillem@eief.it,EIEF Working Papers Series,http://www.eief.it/repec,RePEc:edi:einauit,Einaudi Institute for Economics and Finance (EIEF),ReDIF-Series 1.0
RePEc:eim:papers,webbureau@eim.nl,Scales Research Reports,http://www.entrepreneurship-sme.eu/,RePEc:edi:eimbpnl,EIM Business and Policy Research,ReDIF-Series 1.0
RePEc:ein:tuecis,econpapers@oru.se,Working Papers,https://www.tue.nl/universiteit/faculteiten/industrial-engineering-innovation-sciences/onderzoek/onderzoeksinstituten/ecis/,RePEc:edi:ectuenl,Eindhoven Center for Innovation Studies,ReDIF-Series 1.0
RePEc:eio:thafsr,petr.jakubik@eiopa.europa.eu,EIOPA Financial Stability Report - Thematic Articles,https://eiopa.europa.eu/,RePEc:edi:eiopade,"EIOPA, Risks and Financial Stability Department",ReDIF-Series 1.0
RePEc:eip:journl,eip@ief.org.ua,Economy and Forecasting,http://eip.org.ua/,,Valeriy Heyets,ReDIF-Series 1.0
,,,,,,
,,,,,,
RePEc:ejn:ejssjr,ejss@eurasianpublications.com,Eurasian Journal of Social Sciences,http://www.eurasianpublications.com/,EURASIANPUBLICATIONS,Eurasian Publications,ReDIF-Series 1.0
RePEc:ejw:journl,jason@briggeman.org,Econ Journal Watch,https://econjwatch.org/,RePEc:edi:edgmuus,Econ Journal Watch,ReDIF-Series 1.0
RePEc:ekd:003307,theresa.leary@ecomod.net,EcoMod2003,http://www.ecomod.net,RePEc:edi:ecomoea,EcoMod,ReDIF-Series 1.0
RePEc:ekn:ekonom,ekonomia@ucy.ac.cy,Ekonomia,http://www.ekonomia.ucy.ac.cy/,RePEc:edi:cyessea,Cyprus Economic Society and University of Cyprus,ReDIF-Series 1.0
RePEc:eko:ekoeko,ekonomia@wne.uw.edu.pl,Ekonomia journal,http://www.wne.uw.edu.pl,RePEc:edi:fesuwpl,"Faculty of Economic Sciences, University of Warsaw",ReDIF-Series 1.0
RePEc:ekz:ekonoz,i-trevino@euskadi.eus,EKONOMIAZ. Revista vasca de EconomÌa,http://www.euskadi.eus/economia,RePEc:edi:debages,Gobierno Vasco / Eusko Jaurlaritza / Basque Government,ReDIF-Series 1.0
RePEc:elg:eechap,darrel@e-elgar.co.uk,Chapters,http://www.e-elgar.com,,Edward Elgar Publishing,ReDIF-Series 1.0
RePEc:elo:theses,barbour@elon.edu,Senior Theses,http://www.elon.edu/e-web/academics/business/economics/,RePEc:edi:delonus,"Elon University, Department of Economics",ReDIF-Series 1.0
RePEc:els:esrcls,s.malkani@ucl.ac.uk,ELSE working papers,http://else.econ.ucl.ac.uk/,RePEc:edi:elucluk,ESRC Centre on Economics Learning and Social Evolution,ReDIF-Series 1.0
RePEc:elt:journl,trimestre@fondodeculturaeconomica.com,El Trimestre EconÛmico,http://www.fondodeculturaeconomica.com/,,Fondo de Cultura EconÛmica,ReDIF-Series 1.0
RePEc:ema:worpap,stefania.marcassa@u-cergy.fr,THEMA Working Papers,http://thema.u-cergy.fr,RePEc:edi:themafr,"THEMA (THÈorie Economique, ModÈlisation et Applications), UniversitÈ de Cergy-Pontoise",ReDIF-Series 1.0
RePEc:emc:thgrad,daniel.ventosa@cide.edu,Graduate theses (Spanish),http://www.cide.edu/divisiones-academicas/economia/,RePEc:edi:cideemx,"CIDE, Divisi√≥n de Econom√≠a",ReDIF-Series 1.0
RePEc:eme:rleczz,cmaiorana@emeraldgroup.com,Research in Labor Economics,http://www.emeraldinsight.com,,Emerald Publishing Ltd,ReDIF-Series 1.0
RePEc:emf:lapapr,michael@centennial-group.com,Papers Presented at Latin America Meetings of the Emerging Markets Forum,http://www.emergingmarketsforum.org/,RePEc:edi:emmfous,Emerging Markets Forum,ReDIF-Series 1.0
RePEc:emn:wpaper,florence.paterson@mines-paristech.fr,CSI Working Papers Series,http://www.csi.mines-paristech.fr/,RePEc:edi:siempfr,"Centre de Sociologie de l'Innovation (CSI), Mines ParisTech",ReDIF-Series 1.0
RePEc:emo:wp2003,smialon@emory.edu,Emory Economics,http://economics.emory.edu/home/journals/,RePEc:edi:deemous,"Department of Economics, Emory University (Atlanta)",ReDIF-Series 1.0
RePEc:emp:wpaper,amada.marcos@ie.edu,Working Papers Economia,http://www.ie.edu/esp/claustro/claustro_areas_detalle.asp?id=5,RePEc:edi:aeeiees,"Instituto de Empresa, Area of Economic Environment",ReDIF-Series 1.0
RePEc:ems:euriss,repub@ubib.eur.nl,ISS Working Papers - General Series,http://www.iss.nl/,RePec:edi:issssnl,"International Institute of Social Studies of Erasmus University Rotterdam (ISS), The Hague",ReDIF-Series 1.0
RePEc:emu:wpaper,mehmet.balcilar@emu.edu.tr,Working Papers,http://economics.emu.edu.tr/,RePEc:edi:deemuty,"Eastern Mediterranean University, Department of Economics",ReDIF-Series 1.0
RePEc:emx:ceedoc,crocio@colmex.mx,Serie documentos de trabajo del Centro de Estudios EconÛmicos,http://www.colmex.mx/centros/cee/,RePEc:edi:cecolmx,"El Colegio de MÈxico, Centro de Estudios EconÛmicos",ReDIF-Series 1.0
RePEc:ena:enawpp,eleni.kaditi@ceps.be,ENARPRI Working Papers,http://www.enarpri.org,RePEc:edi:enaprea,ENARPRI (European Network of Agricultural and Rural Policy Research Institutes),ReDIF-Series 1.0
RePEc:enc:abcdef,gruyer@recherche.enac.fr,Economics Working Papers,http://www.enac.fr/recherche/leea/,RePEc:edi:eenacfr,"LEEA (air transport economics laboratory), ENAC (french national civil aviation school)",ReDIF-Series 1.0
RePEc:ene:journl,economicsofnature@gmail.com,Economics of Nature and the Environment,http://economics-of-nature.net/,,Mykhaylo Khvesyk,ReDIF-Series 1.0
RePEc:enr:wpaper,Olivia.Garcia@wbs.ac.uk,White Papers,http://web.warwick.ac.uk/fac/soc/enterpriseRepec/,RePEc:edi:wbswauk,"University of Warwick, Warwick Business School, Enterprise Research Centre",ReDIF-Series 1.0
RePEc:ent:wpaper,mrizzolli@gmail.com,Econometica Working Papers,http://www.econometica.it,RePEc:edi:ecoetit,Econometica,ReDIF-Series 1.0
RePEc:eok:journl,alecu@ase.ro,Oeconomics of Knowledge,,,Saphira Publishing House,ReDIF-Series 1.0
RePEc:epa:cepapb,scepa@newschool.edu,"SCEPA publication series. SCEPA's main areas of research are macroeconomic policy, inequality and poverty, and globalization.",http://www.economicpolicyresearch.org,RePEc:edi:cenewus,"Schwartz Center for Economic Policy Analysis (SCEPA), The New School",ReDIF-Series 1.0
RePEc:epc:journl,managingeditor@epsjournal.org.uk,Economics of Peace and Security Journal,http://www.epsjournal.org.uk,RePEc:edi:ecaarea,Economists for Peace and Security,ReDIF-Series 1.0
RePEc:epd:journl,tibisocaciu@gmail.com,International Journal of Reviews and Studies in Economics and Public Administration,,RePEc:epd:ns,National Statistics,ReDIF-Series 1.0
RePEc:epe:journl,dullien@htw-berlin.de,European Political Economy Review,http://eper.htw-berlin.de/,RePEc:edi:f1fhtde,European Political Economy Infrastructure Consortium,ReDIF-Series 1.0
,,,,,,
RePEc:eph:journl,simona.vasilache@gmail.com,Management & Marketing,,,Economic Publishing House,ReDIF-Series 1.0
RePEc:epl:eplold,contact@europolity.eu,Europolity ñ Continuity and Change in European Governance - Old Series,http://europolity.eu/europolity-journal/,RePEc:edi:disnsro,"Department of International Relations and European Integration, National University of Political Studies and Public Administration",ReDIF-Series 1.0
RePEc:epm:wpaper,repec@polymtl.ca,Working Paper,http://www.polymtl.ca/gmt,RePEc:edi:gmtpmca,"Polytechnique Montreal, Groupe de recherche en Gestion et mondialisation de la technologie",ReDIF-Series 1.0
RePEc:epo:booksx,cepr@cepr.net,CEPR Books,,RePEc:edi:ceprdus,Center for Economic and Policy Research (CEPR),ReDIF-Series 1.0
RePEc:epr:enepop,info@enepri.org,Occasional Papers,http://www.enepri.org,RePEc:edi:eneprea,European Network of Economic Policy Research Institutes,ReDIF-Series 1.0
RePEc:eps:fmwppr,admin@ceps.eu,Factor Markets Working Papers,http://www.ceps.eu,RePEc:edi:cepssbe,Centre for European Policy Studies,ReDIF-Series 1.0
RePEc:era:chaptr,hiroshi.okasaki@eria.org,Chapters,,RePEc:edi:eriadid,Economic Research Institute for ASEAN and East Asia (ERIA),ReDIF-Series 1.0
RePEc:erc:cypepr,adangela@ucy.ac.cy,Cyprus Economic Policy Review,http://www.ucy.ac.cy/goto/ecorece/el-GR/HOME.aspx,RePEc:edi:erucycy,"University of Cyprus, Economics Research Centre",ReDIF-Series 1.0
RePEc:ere:journl,dora.vega@uanl.mx,Ensayos Revista de Economia,http://www.economia.uanl.mx,RePEc:edi:feualmx,"Universidad Autonoma de Nuevo Leon, Facultad de Economia",ReDIF-Series 1.0
RePEc:erf:erfftc,dragana.popovic@oenb.at,SUERF 50th Anniversary Volume Chapters,http://www.suerf.org,RePEc:edi:suerfea,SUERF - The European Money and Finance Forum,ReDIF-Series 1.0
RePEc:erg:journl,nnabil@erf.org.eg,Middle East Development Journal (MEDJ),http://www.erf.org.eg,RePEc:edi:erfaceg,Economic Research Forum and Taylor and Francis,ReDIF-Series 1.0
RePEc:erh:journl,mfcosar@gmail.com,International Econometric Review (IER),http://www.era.org.tr/,RePEc:edi:eratrea,Econometric Research Association,ReDIF-Series 1.0
RePEc:eri:dpaper,kobayashi@erina.or.jp,English-language papers,https://www.erina.or.jp/en/,RePEc:edi:erinajp,ERINA - Economic Research Institute for Northeast Asia,ReDIF-Series 1.0
RePEc:erm:papers,Naima.Baba-Aissa@u-paris2.fr,Working Papers ERMES,http://ermes.u-paris2.fr/,RePEc:edi:ermp2fr,"ERMES, University Paris 2",ReDIF-Series 1.0
RePEc:ern:switch,publications@cermlab.it,Working Papers SWITCH,http://www.cermlab.it/,RePEc:edi:cermmit,"Competitivit‡, Regole, Mercati (CERM)",ReDIF-Series 1.0
RePEc:erp:cevipo,acrespy@ulb.ac.be,Cahiers du CEVIPOL/Brussels Working papers,http://www.cevipol.be/,,Centre d'Ètude de la vie politique (CEVIPOL) of the UniversitÈ Libre de Bruxelles,ReDIF-Series 1.0
RePEc:ers:ijmtei,marios.agiomavritis@unicert.gr,"International Journal of Maritime, Trade & Economic Issues (IJMTEI)",http://www.ijmtei.com/,,"International Journal of Maritime, Trade & Economic Issues (IJMTEI)",ReDIF-Series 1.0
RePEc:erv:tectza,lisette@eumed.net,TECTZAPIC,http://www.eumed.net/rev/tectzapic/index.htm,,Grupo Eumed.net (Universidad de M·laga),ReDIF-Series 1.0
RePEc:esa:iesawp,lmmiller@iesaa.csic.es,IESA Working Papers Series,,RePEc:edi:iesaaes,Institute for Social Syudies of Andalusia - Higher Council for Scientific Research,ReDIF-Series 1.0
RePEc:esb:petdrg,j.predrag@computerdesign.rs,"Ekonomika, Journal for Economic Theory and Practice and Social Issues",,,"‚ÄûEkonomika‚Äú Society of Economists, Ni≈° (Serbia)",ReDIF-Series 1.0
RePEc:esc:wpaper,duvaly@un.org,Working Papers,http://www.unescap.org/tid/artnet/,,"Asia-Pacific Research and Training Network on Trade (ARTNeT), an initiative of UNESCAP and IDRC, Canada.",ReDIF-Series 1.0
RePEc:esd:wpaper,josep.soler@esade.edu,ESADE Working Papers,http://www.esade.edu/gref,RePEc:edi:esadees,"ESADE Business School, Group for Research in Economics and Finance (GREF)",ReDIF-Series 1.0
RePEc:ese:ukhlsp,jnears@essex.ac.uk,Understanding Society Working Paper Series,https://www.understandingsociety.ac.uk/research/publications/working-papers,RePEc:edi:rcessuk,Understanding Society at the Institute for Social and Economic Research,ReDIF-Series 1.0
RePEc:esg:wpierm,jaume.clapes@uab.cat,IERMB Working Paper in economics,http://www.iermb.uab.es/,RePEc:edi:iesrmes,Institut d'Estudis Regionals i Metropolitans de Barcelona,ReDIF-Series 1.0
